Season,Team,AVG,OBP,SLG,OPS,wOBA,R
2021,TBR,0.242600326,0.321192586,0.428908661,0.750101247,0.322418355,857
2022,LAD,0.256605139,0.333386735,0.441730003,0.775116738,0.33656062,847
2021,TOR,0.265704894,0.330472103,0.466033601,0.796505704,0.340328031,846
2021,LAD,0.244260789,0.329788947,0.429017447,0.758806394,0.326794555,830
2021,BOS,0.260964513,0.328477905,0.448953594,0.777431499,0.332779328,829
2023,HOU,0.258846775,0.331192807,0.436680438,0.767873245,0.331640747,827
2023,CHC,0.254178779,0.329840399,0.420784883,0.750625282,0.32576968,819
2022,NYY,0.241239395,0.324719648,0.426226484,0.750946132,0.327156252,807
2023,BAL,0.254595086,0.320708312,0.420928116,0.741636428,0.320456791,807
2021,SFG,0.248993042,0.329002923,0.440131819,0.769134742,0.329496203,804
2021,CHW,0.256300168,0.336138613,0.42225126,0.758389873,0.329052986,796
2023,PHI,0.255730012,0.327087707,0.437827107,0.764914814,0.329420274,796
2021,ATL,0.24370688,0.319329126,0.435017713,0.754346839,0.322907764,790
2022,ATL,0.253040479,0.317382009,0.443456162,0.760838171,0.330178705,789
2021,CIN,0.2493085,0.328109696,0.431311082,0.759420778,0.327294522,786
2023,CIN,0.249318057,0.326910621,0.419530823,0.746441444,0.324639467,783
2023,MIN,0.243395882,0.325761237,0.427582437,0.753343674,0.326661249,778
2022,TOR,0.263546354,0.328666775,0.431143114,0.759809889,0.331347418,775
2022,NYM,0.259063581,0.332087733,0.411914738,0.744002471,0.325742509,772
2022,STL,0.252183406,0.325267944,0.420123726,0.74539167,0.32594093,772
2023,BOS,0.258360302,0.324016899,0.424307802,0.748324701,0.323691291,772
2023,SEA,0.242181818,0.321336346,0.412545454,0.7338818,0.319270068,758
2023,SDP,0.243658581,0.329163281,0.413256804,0.742420085,0.323217679,752
2022,PHI,0.253275109,0.316639209,0.422125181,0.73876439,0.321607474,747
2023,TOR,0.255843221,0.3286657,0.41657677,0.74524247,0.323974653,746
2023,ARI,0.25,0.321663379,0.408204562,0.729867941,0.316970378,746
2021,OAK,0.237998146,0.31657631,0.405931417,0.722507727,0.313080877,743
2021,COL,0.248976553,0.316663869,0.414402679,0.731066548,0.314981504,739
2023,LAA,0.245217708,0.316862361,0.426124977,0.742987338,0.319974735,739
2021,MIL,0.233308466,0.317081205,0.39612085,0.713202055,0.310038042,738
2022,HOU,0.247920133,0.319423745,0.423923091,0.743346836,0.323958526,737
2022,BOS,0.25762773,0.321044045,0.409460191,0.730504236,0.318602535,735
2021,PHI,0.240029817,0.317715231,0.40849795,0.726213181,0.313159977,734
2021,MIN,0.241392008,0.314106789,0.423494752,0.737601541,0.317535219,729
2021,SDP,0.242384843,0.321211123,0.401188707,0.72239983,0.3121621,729
2023,MIL,0.23950984,0.319229502,0.385072409,0.704301911,0.308680284,728
2022,MIL,0.234631714,0.315496645,0.408528705,0.72402535,0.316852641,725
2021,WSN,0.257753017,0.336736374,0.417084493,0.753820867,0.325867935,724
2021,LAA,0.244804119,0.309774436,0.406842008,0.716616444,0.308489768,723
2023,COL,0.248908296,0.310110872,0.404657933,0.714768805,0.309844171,721
2023,STL,0.249727767,0.325844512,0.415789473,0.741633985,0.322209121,719
2021,CLE,0.237996999,0.303483432,0.406976744,0.710460176,0.306217262,717
2023,NYM,0.237926533,0.316260566,0.407234756,0.723495322,0.314990436,717
2022,SFG,0.233864985,0.315333006,0.389651335,0.704984341,0.310517995,716
2021,NYY,0.237478897,0.322367333,0.406865503,0.729232836,0.317155704,711
2022,TEX,0.238773274,0.300880544,0.39539978,0.696280324,0.304631535,707
2021,STL,0.243505886,0.313307601,0.411511866,0.724819467,0.311967665,706
2021,CHC,0.236524689,0.311804384,0.407463249,0.719267633,0.311411826,705
2022,SDP,0.240855888,0.31789371,0.381675201,0.699568911,0.308077073,705
2022,ARI,0.230237338,0.304238985,0.385161652,0.689400637,0.302761152,702
2023,WSN,0.253712423,0.313809602,0.395689967,0.709499569,0.309039674,700
2022,CLE,0.253688377,0.3160723,0.382511694,0.698583994,0.305640782,698
2022,COL,0.254151624,0.315392189,0.397653429,0.713045618,0.312405282,698
2021,DET,0.241629464,0.307550335,0.399181547,0.706731882,0.305770155,697
2021,SEA,0.225770308,0.302767589,0.384873949,0.687641538,0.299786284,697
2022,MIN,0.247626004,0.317273025,0.400840029,0.718113054,0.314945968,696
2023,PIT,0.23917869,0.31453076,0.391971883,0.706502643,0.308418005,692
2022,SEA,0.229953488,0.314660114,0.389581395,0.704241509,0.310364036,690
2021,KCR,0.248571955,0.306465155,0.395614519,0.702079674,0.303682122,686
2022,CHW,0.255747638,0.310463402,0.387096774,0.697560176,0.306353295,686
2021,ARI,0.236290763,0.309102815,0.382401165,0.69150398,0.300683829,679
2023,KCR,0.244104642,0.302781501,0.397568165,0.700349666,0.302903785,676
2022,BAL,0.235955056,0.305090366,0.390311291,0.695401657,0.305248993,674
2023,SFG,0.234848484,0.312047399,0.383407243,0.695454642,0.30417807,674
2023,NYY,0.226751831,0.303706188,0.397332331,0.701038519,0.304488301,673
2022,TBR,0.2390983,0.3085,0.377124907,0.685624907,0.302205089,666
2023,MIA,0.258868473,0.316375727,0.404766236,0.721141963,0.312173332,666
2023,CLE,0.250136042,0.313167844,0.381461998,0.694629842,0.301515653,662
2023,DET,0.2358525,0.304813715,0.381526104,0.686339819,0.299840172,661
2021,BAL,0.239114391,0.303670186,0.401660516,0.705330702,0.305035177,659
2022,CHC,0.238341013,0.311302048,0.386543778,0.697845826,0.306945008,657
2022,CIN,0.234944237,0.303508477,0.372304832,0.675813309,0.298712139,648
2023,CHW,0.23777495,0.291491861,0.383748409,0.67524027,0.292477366,641
2022,KCR,0.24406842,0.306395057,0.379621114,0.686016171,0.301562192,640
2021,NYM,0.238579654,0.314668498,0.390595009,0.705263507,0.306907046,636
2021,TEX,0.2320074,0.294415387,0.37520814,0.669623527,0.291230029,625
2021,MIA,0.232610321,0.298489733,0.37210172,0.670591453,0.291475967,623
2022,LAA,0.23326572,0.297092925,0.390189931,0.687282856,0.300120793,623
2021,PIT,0.23631934,0.309023693,0.364130434,0.673154127,0.294267079,609
2022,WSN,0.248619801,0.310229365,0.377438351,0.687667716,0.30272705,603
2022,PIT,0.222472331,0.29119294,0.363721628,0.654914568,0.288710537,591
2022,MIA,0.230027803,0.294256358,0.363484708,0.657741066,0.290428114,586
2023,OAK,0.223498399,0.298482293,0.370363396,0.668845689,0.29316752,585
2022,OAK,0.215844937,0.280698749,0.345690628,0.626389377,0.277305036,568
2022,DET,0.230568984,0.286348122,0.345667534,0.632015656,0.279010896,557
